250,729095.821,2489731.920,2641.806,IRBOX CLO
251,729177.883,2489768.742,2642.191,MBOX
252,729217.874,2489731.927,2643.930,SP
253,729222.494,2489703.938,2643.391,TELPED
254,729219.131,2489687.848,2643.775,PP
255,729221.004,2489613.804,2643.325,SP
256,729218.707,2489535.280,2642.968,PP
257,729214.401,2489524.318,2642.327,FL BEG
258,729215.285,2489470.613,2642.341,FL END
259,729213.492,2489455.583,2642.257,FL BEG
260,729213.120,2489463.594,2642.585,FL
261,729207.346,2489479.741,2641.873,FL
262,729211.806,2489474.516,2642.297,IBOX BEG
263,729214.726,2489474.420,2642.313,IBOX
264,729214.825,2489477.357,2642.253,IBOX
265,729211.882,2489477.407,2642.253,IBOX CLO
266,729200.512,2489485.392,2641.474,TELBOX
267,729198.584,2489483.349,2641.426,TELPED
268,729192.693,2489488.668,2641.208,PM
269,729192.491,2489489.404,2642.868,PP
270,729191.561,2489487.787,2641.609,CPAD BEG
271,729183.595,2489487.772,2641.694,CPAD
272,729183.607,2489479.908,2641.685,CPAD
273,729191.556,2489480.034,2641.542,CPAD CLO
274,729185.640,2489486.109,2641.652,TRANS
275,729190.710,2489481.900,2641.599,PM
276,729175.280,2489479.331,2641.948,FL
277,729117.856,2489479.763,2642.102,FL
278,729154.552,2489516.684,2638.131,BLD BEG
279,729159.589,2489523.063,2637.847,BLD
280,729166.467,2489517.651,2637.844,BLD
281,729161.430,2489511.280,2638.176,BLD CLO
282,729048.074,2489479.455,2642.051,FL
283,728877.202,2489477.446,2642.008,FL
284,728878.120,2489477.677,2641.991,F12 BENT
285,728859.270,2489491.460,2641.949,TREE
286,728857.625,2489516.829,2641.723,FL2 BEG
287,728808.844,2489492.296,2642.095,TREE
288,728759.024,2489492.525,2641.951,TREE
289,728708.861,2489492.021,2643.936,TREE
290,728723.587,2489510.921,2642.191,BENCH BEG
291,728703.355,2489510.981,2642.003,BENCH END
292,728683.707,2489516.527,2642.082,FL2
293,728659.486,2489490.944,2643.617,TREE
294,728659.712,2489540.358,2642.443,FL2
295,728654.211,2489560.212,2642.895,BENCH BEG
296,728654.080,2489580.071,2642.936,BENCH END
297,728659.903,2489714.306,2643.089,FL2 END
298,728615.252,2489716.778,2646.475,TREE
299,728615.756,2489667.075,2646.134,TREE
300,728616.437,2489617.418,2646.135,TREE
301,728618.196,2489568.392,2645.914,TREE
302,728619.566,2489517.542,2645.213,TREE
303,728658.279,2489492.723,2642.541,TREE
304,728617.550,2489478.377,2644.413,FL
305,728617.114,2489467.676,2643.763,FL
306,728602.658,2489467.682,2643.554,FL
307,728602.486,2489443.534,2643.412,FL
308,728602.409,2489423.680,2643.433,FL END
309,728602.080,2489423.372,2643.421,BS BEG
310,728598.114,2489423.523,2643.289,TBC BEG
311,728597.342,2489423.595,2642.849,FL BEG
312,728596.126,2489423.622,2642.878,LIP BEG
313,728596.124,2489423.628,2642.892,EP BEG
314,728574.358,2489422.456,2643.311,EP
315,728602.632,2489473.307,2643.713,BS
316,728598.864,2489473.464,2643.407,TBC END
317,728598.108,2489473.217,2643.027,FL END
318,728596.848,2489473.372,2643.129,TOE END
319,728596.819,2489473.513,2643.122,EP
320,728602.792,2489473.599,2643.725,EP
